Kalimat;label
san ente aje yg unboxing Indosat. masa ente kalah ama kemenakan Prabowo...unboxing mesin atm wkwkwkwkwk;1
⁣⁣GOBLOK,ngapain beli indosat ? g ada untungnya, jaringan aja super lemot,di papua aja g ada jaringannya, mentok2 cuma 2G, harusnya pikir pakai otak bagaimana beli seluruh saham telkomsel dari singtel ???;3
Ngotot mau beli saham indosat kok jika jd presiden??? Ada apa ya??. Jika menguntungkan knp Sandi yg pengusaha & uangnya banyak tdk beli indosat buat bisnisnya ?? Ayo logika aja, knp pake dana negara? Negara akan rugi yg untung makelar;1
Buyback Isat??anda sehat??sdh diminum obatnya??... Sinyal lelet,paket data omdo,hutang msh trilyunan..coba kau pikirkan kembali Adolfo??!!;1
Saya percaya kalau sama Sandiaga Uno, tapi kalau sama Jokowi.. 100%gak percaya,�;1
HaHaHa... Lucu! Dengan harga jauh di atas Rp. 9,9 Triliun sajs Ooredoo Qatar belum tentu mau. Nilai Indosat terlalu rendah saat ini. Per Desember 2018 modal Indosat hanya sekitar Rp. 11,2 Triliun dengan hutang bejibun Rp. 41 Triliun. Mana mau Ooredoo Qatar jual rugi?;1
Yg jual Indosat siapa ...??? Yg mau beli balik siapa...????�;1
Ngapain beli indosat?? Sinyal lelet gaje, wkwkwk;1
kan sandi bilang mo diusahakan,..tp jgn lupa sandi itu ahli dlm mensehatkan perusahaan,..itulah diawal bisnisnya sampe jd milyuner skrng,..;1
Kalo sy gak mau uang rakyat di pakai belu perushan gak sehat.. uang trilyunan kpq dipakai coba2...;1
Okeh Ngoceh, bayar aja pakai kerdus. Apa membeli saham itu prioritas, mengancam keamanan nasional? Urgensinya perlu dikemukakan agar logis kenapa harus dibeli kembali, atau tidak. Seperti membeli sahan Freeport itu, jelas logis. 😉😉;1
oke oce apa kabare..? dp 0% progress 0% jg kah??;1
Be smart...emang masih feasible buat buy back Indosat? atau cuman buat materi pilpres 2019 doang;1
Dulu memang Indosat penting sekali di-buyback karena Indosata menguasai slot satelit di antariksa. Namun sekarang slot satelit itu sudah kembali dikuasai negara & dimanfatiin oleh Telkom. Posisi Indosat saat ini cuma jadi operator teleppon seluler (itupun udah kalah sama XL. Satelit Palapa yang sekarang masih dikuasai Indosat juga udah uzur. Semua kebutuah telekomunikasi sekarng udah disediakan Telkom. ⁣Jadi engga ada pentingnya buyback Indosat?;1
Itu lah Bro, cuman Okeh Ngoceh aja, panik sudah semakin dekat masih aja berada di bawah, biar itu oleh survei internalnya sendiri .... 😉😖;1
Yg jual Indosat harus nya tanggung jawab;1
Wah ditempatku Pluit, Bintaro, dan sekitarnya Telkomsel lelet dan mah;1
Sudah dipertanggungjawabkan di depan mpr dan dpr, no complain, baik-baik saja.;1
Janji2 yg blm terpenuhi oleh pak jokowi akan dipenuhi oleh prabowo sandi, sehingga jokowi tidak dicap lagi ingkar janji;1
Mau dibuat seperti Mandala dulu ya Sandiwara Uno... habis lu beli terus tutup krn bangkrut?;1
wah cara-cara BLBI yang akan dipergunakan oleh Bang Sandi. Ujung-ujungnya oknum yang akan kantongi profit.;1
mau korupsi ya ????? negara be hancur klo bgni;1
woi...benefitnya nggak ada, mau cari muka dan dikorupsikah duitnya;1
9,9T lebih baik buat beli satelit komunikaai dan satelit militer TNI.�;1
Ngapain beli perusahaan setengah ambruk, mending bikin lagi yg lebih canggih kan sumber utamanya / kompetisinya cuma di software sedangkan hardware kan sudah jadul;1
Ngapain dibeli jk yg ada rugi trs nnt mlh dibeli yg rugi uang rakyat,san.;1
Uangnya darimana bos? Buat janji2 ente yang bejibun gitu apa iya bisa disupport sm APBN semuanya klo emang ente jadi terpilih? Ente bisa kasih itung2an rilnya gak yg bs dipublish ke publik soal duitnya darimana ini?;1
Harusnya 02 juga menjelaskan ke rakyat, apa keuntungan buy--back indosat untuk saat ini. Trus bagaimana skemanya. Jangan hanya krn untuk menghibur rakyat, malah ternyata tidak berfaedah (secara bisnis) bagi negara. Bijaksana itu memang sulit, tapi janganlah sampai bodoh...;1
Emang masih ada pemakai Indosat ya. Telkomsel bae dimana mana;1
Saya, dari Telkomsel pindah ke Indosat karena tarifnya lebih murah dan sinyal bagus;1
Saya tadinya pelanggan internet indosat yg sudah beralih ke telkomsel krn sinyal susah.;1
Perusahaan lagi rugi nggak ada Cuan kok dibeli;1
Buat qpa dibeli perusahaan rugi. Mqu berdarah2 lagi? Toh pemerintah dah punya telkomsel;1
Mendingan bangun infrastruktur 9T bisa nambah MRT 9 Km lagi;1
Indosat lagi sakit parah, tunggu 2 - 3 tahun lagi, pasti anjlok tuh saham;1
Walah Sandi sembrono.....katanya investor.....liat dulu donk performance si Indosat .....koq mau buy back ......weleh weleh....;1
Nilai saham indosat itu kan jatuh karena merugi..ngapain dibeli ya;1
Wakakak.... Akan diusahakan, tukang sayur juga bisa bilang begitu;1
Kalau performa kinerjanya belum bisa melampaui Telkomsel, ngapain maksain dibeli, kan udah punya gantinya Freeport yg keuntungannya jelas jauh lebih besar.... 🤣🤣🤣;1
Biar aja indosat jd pesaing telkomsel. Biar telkomsel ga semena mena pasang harga.;1
