kalimat,label
santai kamu aja yang unboxing indosat masa kamu kalah ama kemenakan prabowo unboxing mesin atm wkwk,1
goblok ngapain beli indosat tidak ada untungnya jaringan aja super lemot di papua aja tidak ada jaringannya mentok cuma tidak harusnya pikir pakai otak bagaimana beli seluruh saham telkomsel dari singtel,3
ngotot mau beli saham indosat kok jika jadi presiden ada apa ya jika menguntungkan kenapa sandi yang pengusaha uangnya banyak tidak beli indosat buat bisnisnya ayo logika aja kenapa pake dana negara negara akan rugi yang untung makelar,1
buyback isat anda sehat sudah diminum obatnya sinyal lelet paket data omdo hutang msh trilyunan coba kamu pikirkan kembali adolfo,1
saya percaya kalau sama sandiaga uno tapi kalau sama jokowi tidak percaya,1
haha lucu dengan harga jauh di atas rp triliun sajs ooredoo qatar belum tentu mau nilai indosat terlalu rendah saat ini per desember modal indosat hanya sekitar rp triliun dengan hutang bejibun rp triliun mana mau ooredoo qatar jual rugi,1
yang jual indosat siapa yang mau beli balik siapa,1
ngapain beli indosat sinyal lelet gaje wkwk,1
kan sandi bilang mau diusahakan tapi jangan lupa sandi itu ahli dalam mensehatkan perusahaan itulah diawal bisnisnya sampai jadi milyuner sekarang,1
kalo saya tidak mau uang rakyat di pakai belu perushan tidak sehat uang trilyunan kpq dipakai coba,1
oke ngoceh bayar aja pakai kerdus apa membeli saham itu prioritas mengancam keamanan nasional urgensinya perlu dikemukakan agar logis kenapa harus dibeli kembali atau tidak seperti membeli sahan freeport itu jelas logis,1
oke oke apa kabari dp progress juga kah,1
be smart emang masih feasible buat buy back indosat atau cuman buat materi pilpres doang,1
dulu memang indosat penting sekali di buyback karena indosat menguasai slot satelit di antariksa namun sekarang slot satelit itu sudah kembali dikuasai negara dimanfatiin oleh telkom posisi indosat saat ini cuma jadi operator teleppon seluler itupun sudah kalah sama xl satelit palapa yang sekarang masih dikuasai indosat juga sudah uzur semua kebutuah telekomunikasi sekarang sudah disediakan telkom jadi engga ada pentingnya buyback indosat,1
itu lah bro cuman oke ngoceh aja panik sudah semakin dekat masih aja berada di bawah biar itu oleh survei internalnya sendiri,1
yang jual indosat harus nya tanggung jawab,1
wah ditempatku pluit bintaro dan sekitarnya telkomsel lelet dan mah,1
sudah dipertanggungjawabkan di depan mpr dan dpr no complain baik baik saja,1
janji yang belum terpenuhi oleh pak jokowi akan dipenuhi oleh prabowo sandi sehingga jokowi tidak dicap lagi ingkar janji,1
mau dibuat seperti mandala dulu ya sandiwara uno habis kamu beli terus tutup karena bangkrut,1
wah cara cara blbi yang akan dipergunakan oleh bang sandi ujung ujungnya oknum yang akan kantongi profit,1
mau korupsi ya negara be hancur kalau begini,1
woi benefitnya tidak ada mau cari muka dan dikorupsikah duitnya,1
t lebih baik buat beli satelit komunikaai dan satelit militer tni,1
ngapain beli perusahaan setengah ambruk mending bikin lagi yang lebih canggih kan sumber utamanya kompetisinya cuma di software sedangkan hardware kan sudah jadul,1
ngapain dibeli jika yang ada rugi terus nanti milih dibeli yang rugi uang rakyat santai,1
uangnya darimana bos buat janji kamu yang bejibun gitu apa iya bisa disupport sama apbn semuanya kalau emang kamu jadi terpilih kamu bisa kasih itung an rilnya tidak yang bisa dipublish ke publik soal duitnya darimana ini,1
harusnya juga menjelaskan ke rakyat apa keuntungan buy back indosat untuk saat ini trus bagaimana skemanya jangan hanya karena untuk menghibur rakyat malah ternyata tidak berfaedah secara bisnis bagi negara bijaksana itu memang sulit tapi janganlah sampai bodoh,1
emang masih ada pemakai indosat ya telkomsel bae dimana mana,1
saya dari telkomsel pindah ke indosat karena tarifnya lebih murah dan sinyal bagus,1
saya tadinya pelanggan internet indosat yang sudah beralih ke telkomsel karena sinyal susah,1
perusahaan lagi rugi tidak ada cuan kok dibeli,1
buat qpa dibeli perusahaan rugi mqu berdarah lagi toh pemerintah sudah punya telkomsel,1
mendingan bangun infrastruktur t bisa nambah mrt kamu lagi,1
indosat lagi sakit parah tunggu tahun lagi pasti anjlok tuh saham,1
walah sandi sembrono katanya investor liat dulu donk performance si indosat kok mau buy back weleh weleh,1
nilai saham indosat itu kan jatuh karena merugi ngapain dibeli ya,1
wkwk akan diusahakan tukang sayur juga bisa bilang begitu,1
kalau performa kinerjanya belum bisa melampaui telkomsel ngapain maksain dibeli kan sudah punya gantinya freeport yang keuntungannya jelas jauh lebih besar,1
biar aja indosat jadi pesaing telkomsel biar telkomsel tidak semena mena pasang harga,1
kualitas indosat jaringan amburadul bos ke papua lagi sana kalau ada sinyal indosat harusnya tu pikir bagaimana bisa membeli seluruh saham telkomsel dari singtel karena sahamnya telkomsel separoh masih dimiliki asing otak woi mikir,1
rakyat mana yang seneng buyback indosat dilakukan cuma buat gimik aja seolah jokowi tidak menepati janji dan dia sanggpu buyback padahal kenyataannya indosat tidak layak dibeli kembali,1
wacana buyback karena yakin tidak mgk menang,1
indosat yang dulu dijual sama emak nya jokowi di moncong putih apa tidak ada urusan lain bang sandi,1
perusahaan yang sudah rugi mau diambil lagi mirip seperti prabowo membeli pt kiani kertas yang terlilit hutang,1
buy back untuk dijual lagi kan bisnis bang sandi seperti itu,1
dulu indosat di jual siapa ya presidennya,1
palsu,1
jokowi tidak memprioritaskan buy buck indosat tentu dengan pertimbangan matang kata sudah punya telkomsel yang jauh lbh sehat buat apa membeli perusahaan yang sedang payah hanya untuk menyenagkan rakyat itu bukan gaya jokowi,1
waduh katanya pemilik perusahaan investasi masa sekelas sandi tidak baca prospektus isat sih sahamnya jadi bahan gorengan bandar makanya jokowi tidak jadi beli nilai segitu jauh lebih bagus di investasikan ke telkom ngapain negara punya perusahaan yang sama bisnisnya,1
jokowi prioritas ke freeport,1
kalo jual beli saham t broker feenya berapa yah,1
indosat jelek aja dibuyback tak adakah pesusahan lain yang lebih profit,1
buat apa beli sudah rugi itu,1
keuntungan unt kita kalo buy back indosat apa,1
perasaan tiap tahun ri nambah hutang sampai ratusan trilyun ko tidak dilaksanain juga janjinya apa jokowi,1
namanya juga ingin narik perhatian publik tapi tidak tepat sasaran di kirain rakyat indonesia ini mudah dikibulin sory saja pak sandi saya tidak pilih kamu karena kamu kurang paham pada negeri ini,1
sandi dodol tidak tanya kenapa pak jokowi masih belum buyback indosat pasti ada perhitungan dong si sandi ini cuman mau cari suara aja dia sendiri bilang diusahakan bukan pasti beli balik,3
mending saham saratoga kamu buy back abis di lego kemaren buat modal,1
mendingan perkuat telkom dan telkomsel,1
belum apa saja sudah mau hutang t bagaimana nanti kayaknya lebih parah,1
ngapain beli indosat providernya kalah jauh dari telkomsel kalau masalah satelit mending beli baru bri saja satelitnya harga t kenapa harus keluar t,1
kalo masalah gini bang sandi memang jagonya,1
ceo indosat nya saja mundur berturut turut coba kenapa kalau sampai se kelas sandi sampai tidak tahu soal itu patut dipertanyakan kredibilitasnya pengalaman membuktikan taxi express yang sandi pernah memilikinya manajemen nya saja pernah mundur serentak dan sandi tidak pernah bisa meng geliatkan nya lagi bagi pemenangan di kondisi per taksian sekarang janji mau beli indosat cuman senyum saja,1
buat apa di ambil kalau merugikan aduh tidak mikir nih orng jangan Cuma mau nyari simpati aja dong,1
bego yang setuju sandi,3
nyungsep yang setuju sama komen elu bong,1
kampret penyembah si sandiwara gemblung memang dungu bin bahluuull,3
biasa deh bo ong biar kepilih,1
mau sandi kek atau jokowi tetep jangan beli isat perush sudah ngap an gtu core bisnis nya sudah tidak bagus orang sms sekarang pake wa telpon juga pake wa nasib operator selular diujung tanduk kok malah buy back,1
haha t hebat nya indosat apa sih kalau di beli untung nya apa mending buat satelit sendiri yang bisa buat biaya internet murah hanya karena politik aja semua cari muka,1
kenapa tidak sandi,1
t duit dari hutang juga sandiwara gemblung,1
kalu jagonya hutang ya junjunganmu kui bong ha ha ha,1
jadi inget perusahaan yang meninjeksi mikroba ke sungai yang warnanya item di jakarta yang punya perusahaannya adalah asisten fz,1
ini orang mendingan maen lenong deh kerjanya sandiwara melulu,1
masalahnya indosat itu tidak semenguntungkan dulu gapain maksain tepati janji jika tidak menguntungkan mending bikin satelit,1
dulu waktu untung kenapa tidak di buyback sama junjunganmu bong sekarang pertumbuhan ekonomi tidak tercapai baru kamu ngoceh mending bikin satelit ebong mah prinsipnya labil omongannya tidak bisa di pegang kayak gini mau lanjut periode no way haha,1
janji bangun stadion sekelas old traford aja tidak dipenuhi bagaimana mau dipercaya,1
nonton berita mkanyo bong sudah groundbreaking jangan dikolam ka,1
bung sandi harusnya tahu masalahnya bukan sanggup atau tidak sanggup tapi apa valuenya buat negara kalau itu sangat strategis saya yakin sekarang juga dibeli,1
trilyun buat beli perusahaan rugi yang nantinya bakalan head to head sama telkom yang bener aja bos,1
perusahaan rugi kok di beli dasar bego,3
satelit indosat sudah tidak canggih ngapain dibeli sahamnya,1
tujuannya apa ini perusahaan rugi lebih baik investasi dibidang lain telkomsel saja diperbesar toh milik sendiri,1
masa aktif satelit indosat kapan berakhir,1
indosat rugi mau di beli,1
terus kenapa ya dulu jokowi janji mau buyback indosat ya kalau jokowi yang janji boleh diingkari kalau sandi yang janji serasa dibohongi,1
ya itu karena ternyata hitungan nya rugi makanya tidak jadi di ambil banyak baca berita yah,1
