sblm,sebelum
pst,pasti
dg,dengan
nnt,nanti
g,tidak
trs,terus
pns,pns
mrk,mereka
kyk,kayak
mgk,mungkin
ky,kayak
syng,sayang
jngn,jangan
btl,betul
mr,mari
cmn,cuman
byk,banyak
rp,rupiah
mmg,memang
xd,
jln,jalan
rb,ribu
nggk,nggak
jktsby,
b,biasa
wc,wc
sms,sms
fb,
dpr,dapur
ksh,kasih
mpr,mpr
y,iya
lpg,
byr,bayar
jtbln,
xxx,'
yth,yth
jng,'
kt,kita
ln,'
bgmn,bagaimana
spt,seperti
ts,tersebut
wkwkw,wkwk
bb,bb
dpt,dapat
srby,surabaya
tgl,tanggal
brg,barang
hny,hanya 
jd,jadi
skg,sekarang
ngk,nggak
bgm,bagaimana
jv,'
kn,kan
tk,tk
k,'
skrng,sekarang
dtk,detik
bgt,banget
bts,'
my,'
nt,'
msh,masih
jgn,jangan
pdhl,padahal
lg,lagi
dlm,dalam
hr,hari
prnh,pernah
drpd,daripada
gw,gue
sp,
jt,juta
dl,dulu
wkwk,wkwk
wkwkwkwkk,wkwk
kl,kali
crt,cerita
slh,salah
cr,'
pjgbs,'
mlh,malah
x,'
sdg,sedang
qc,'
c,'
hp,hp
jl,jalan
wkwkwkwkwk,wkwk
hsl,hasil
bbmpln,'
sd,sampai dengan
sy,saya
bpk,bapak
brp,berapa
bpn,'
sby,surabaya
dpn,depan
hrs,harus
kdg,kadang
tmpt,tempat
n,dan
wkwkwkwkwwk,wkwk
pp,pulang pergi
tps,tps
hmmm,hmm
cm,cuman
ttp,tetap
lgsg,langsung
bsr,besar
sg,'
km,kamu
sm,sama
v,'
lm,lama
nntn,nonton
mk,mk
html,html
cmd,cmd
pd,padahal
kmrn,'
wkkkk,wkwk
pks,pks
gt,gitu
jg,juga
bwt,buat
kpq,'
gk,tidak
lbh,lebih
skrg,sekarang
cz,'
ybs,'
krn,kamu
bnyk,banyak
ngw,ngewe
wkwkwk,wkwk
dmn,dimana
kpk,kpk
mtr,motor
mlm,malam
bhw,bahwa
fz,'
dll,'
bbm,'
gppt,'
cs,'
dgn,dengan
dp,dp
sdh,sudah
ttg,tentang
bt,'
dprd,daripada
wkwkwkwk,wkwk
gpp,gapapa
trtm,trtm
bs,bisa
smp,sampai
wkwkwkwkwkwk,wkwk
lwt,lewat
jkt,jakarta
blm,belum
th,tahun
thn,tahun
pph,'
wkwkwkwkw,wkwk
tv,tv
btw,'
trrs,terus
tdk,tidak
by,oleh
bdg,bandung
pt,patungan
wkwkwkkkk,wkwk
blg,bilang
mn,mana
tlg,tolong
mslh,masalah
sbg,sebagai
cq,'
w,gue
yv,'
hqq,hakiki
hmm,hmm
m,sama
ntr,ntar
xl,xl
jktbpn,
mngkn,mungkin
dr,dari
tp,tapi
bljr,belajar
dng,dengan
tttttttt,titit
gsm,'
yg,yang
hmmmmmm,hmm
h,'
tmsk,'
jkw,jokowi
gmn,gimana
mgkn,mungkin
t,'
d,di
knp,kenapa
bln,bulan 
swt,'
nh,nih
sj,saja
bkn,bukan
jk,jika
mrt,menurut
ppn,'
